Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470085200.0 134.707 NA 38 222 0 NA NA NA NA 87 279 0 NA NA NA NA 201 8132 714 NA NA NA NA 221 8464 741 NA NA NA
1470085200.0 134.709 NA 40 231 0 NA NA NA NA 88 298 0 NA NA NA NA 217 8614 723 NA NA NA NA 330 8894 749 NA NA NA
1470085200.0 134.802 NA 34 221 0 NA NA NA NA 88 283 0 NA NA NA NA 236 10990 721 NA NA NA NA 270 11234 740 NA NA NA
1470085200.0 134.803 NA 34 222 0 NA NA NA NA 88 280 0 NA NA NA NA 238 8303 699 NA NA NA NA 333 8899 739 NA NA NA
1470085200.0 134.807 NA 75 238 0 NA NA NA NA 144 299 0 NA NA NA NA 791 10896 800 NA NA NA NA 940 11139 838 NA NA NA
1470085200.0 134.808 NA 79 242 0 NA NA NA NA 144 303 0 NA NA NA NA 558 6430 438 NA NA NA NA 776 6741 453 NA NA NA
1470085200.0 134.809 NA 36 223 0 NA NA NA NA 85 280 0 NA NA NA NA 236 8687 730 NA NA NA NA 281 9213 764 NA NA NA
1470085200.0 134.811 NA 35 225 0 NA NA NA NA 86 287 0 NA NA NA NA 228 10753 730 NA NA NA NA 278 10985 762 NA NA NA
1470085200.0 134.812 NA 36 218 0 NA NA NA NA 84 279 0 NA NA NA NA 208 5505 805 NA NA NA NA 236 5823 850 NA NA NA
1470085200.0 134.813 NA 113 51 0 NA NA NA NA 198 93 0 NA NA NA NA 591 77 157 NA NA NA NA 823 222 186 NA NA NA
1470085200.0 134.901 NA 34 225 0 NA NA NA NA 85 279 0 NA NA NA NA 208 5847 771 NA NA NA NA 258 6037 815 NA NA NA
1470085200.0 134.902 NA 39 219 0 NA NA NA NA 89 279 0 NA NA NA NA 211 7189 686 NA NA NA NA 304 7940 727 NA NA NA
1470085200.0 134.905 NA 44 219 0 NA NA NA NA 87 279 0 NA NA NA NA 225 6610 709 NA NA NA NA 266 7537 752 NA NA NA
1470085200.0 134.907 NA 82 233 0 NA NA NA NA 145 292 0 NA NA NA NA 681 6939 659 NA NA NA NA 719 7537 691 NA NA NA
1470085200.0 134.908 NA 76 233 0 NA NA NA NA 147 295 0 NA NA NA NA 644 7599 796 NA NA NA NA 853 7798 829 NA NA NA
1470085200.0 134.911 NA 35 222 0 NA NA NA NA 86 279 0 NA NA NA NA 209 6775 694 NA NA NA NA 231 7698 738 NA NA NA
1470085200.0 134.99601 NA 39 227 0 NA NA NA NA 86 282 0 NA NA NA NA 179 6964 432 NA NA NA NA 290 7458 466 NA NA NA
1470085200.0 134.99602 NA 34 228 0 NA NA NA NA 87 279 0 NA NA NA NA 239 6619 722 NA NA NA NA 267 6799 772 NA NA NA
1470085200.0 135.1 230 0 97 NA NA NA NA 304 0 160 NA NA NA NA 1537 490 324 NA NA NA NA 1631 508 397 NA NA NA NA
1470085200.0 135.11 238 0 111 NA NA NA NA 315 0 160 NA NA NA NA 1219 303 249 NA NA NA NA 1403 324 301 NA NA NA NA
1470085200.0 135.13 191 0 NA NA NA NA NA 256 0 NA NA NA NA NA 871 222 NA NA NA NA NA 1037 264 NA NA NA NA NA
1470085200.0 135.2 207 0 99 NA NA NA NA 282 0 159 NA NA NA NA 807 406 277 NA NA NA NA 3550 421 349 NA NA NA NA
1470085200.0 135.3 209 0 96 NA NA NA NA 282 0 159 NA NA NA NA 1017 433 269 NA NA NA NA 1156 455 331 NA NA NA NA
1470085200.0 135.5 224 0 101 NA NA NA NA 299 0 160 NA NA NA NA 858 445 308 NA NA NA NA 4065 464 389 NA NA NA NA
1470085200.0 135.7 220 0 97 NA NA NA NA 299 0 159 NA NA NA NA 1337 464 280 NA NA NA NA 1484 481 324 NA NA NA NA
1470085200.0 135.8 81 NA NA NA NA NA NA 141 NA NA NA NA NA NA 265 NA NA NA NA NA NA 768 NA NA NA NA NA NA
1470085200.0 135.9 221 0 96 NA NA NA NA 300 0 159 NA NA NA NA 1167 457 261 NA NA NA NA 1345 478 322 NA NA NA NA
1470085200.0 1352.0 NA 162 232 0 NA NA NA NA 227 316 0 NA NA NA NA 875 1485 2217 NA NA NA NA 947 1593 2580 NA NA NA
1470085200.0 1355.0 NA 164 238 0 NA NA NA NA 228 316 0 NA NA NA NA 958 1655 2227 NA NA NA NA 1037 1947 2306 NA NA NA
1470085200.0 1356.0 57 149 252 0 98 NA NA 104 212 317 0 163 NA NA 7742 722 1149 1741 222 NA NA 8178 823 1386 1798 312 NA NA
1470085200.0 136.721 NA 156 241 0 NA NA NA NA 222 299 0 NA NA NA NA 3988 8614 1229 NA NA NA NA 4527 9481 1272 NA NA NA
1470085200.0 136.722 NA 154 252 0 NA NA NA NA 229 323 0 NA NA NA NA 4650 9662 1115 NA NA NA NA 5207 10457 1163 NA NA NA
1470085200.0 136.723 NA 153 241 0 NA NA NA NA 226 298 0 NA NA NA NA 4319 9399 1152 NA NA NA NA 4904 10297 1189 NA NA NA
1470085200.0 136.724 NA 160 246 0 NA NA NA NA 230 305 0 NA NA NA NA 4146 9388 858 NA NA NA NA 4706 13116 882 NA NA NA
1470085200.0 136.725 NA 156 241 0 NA NA NA NA 226 301 0 NA NA NA NA 4311 9742 1106 NA NA NA NA 4837 10679 1180 NA NA NA
1470085200.0 136.726 NA 158 245 0 NA NA NA NA 225 304 0 NA NA NA NA 3878 8264 866 NA NA NA NA 4344 12297 901 NA NA NA
1470085200.0 136.727 NA 182 252 0 NA NA NA NA 278 313 0 NA NA NA NA 4684 9155 1175 NA NA NA NA 5118 9840 1205 NA NA NA
1470085200.0 136.728 NA 183 253 0 NA NA NA NA 269 310 0 NA NA NA NA 4134 8271 917 NA NA NA NA 6155 9792 989 NA NA NA
1470085200.0 136.729 NA 153 242 0 NA NA NA NA 221 299 0 NA NA NA NA 4225 9695 1187 NA NA NA NA 4552 10501 1276 NA NA NA
1470085200.0 136.73 NA 159 258 0 NA NA NA NA 224 330 0 NA NA NA NA 4609 9830 1069 NA NA NA NA 5167 10642 1120 NA NA NA
1470085200.0 136.731 NA 159 245 0 NA NA NA NA 224 303 0 NA NA NA NA 4730 9869 1100 NA NA NA NA 5304 10624 1151 NA NA NA
1470085200.0 136.732 NA 164 238 0 NA NA NA NA 222 292 0 NA NA NA NA 1973 5389 808 NA NA NA NA 2473 5928 821 NA NA NA
1470085200.0 136.7321 NA 156 258 0 NA NA NA NA 225 317 0 NA NA NA NA 2473 6722 1029 NA NA NA NA 2942 7579 1056 NA NA NA
1470085200.0 136.733 NA 122 58 0 NA NA NA NA 208 101 0 NA NA NA NA 757 125 147 NA NA NA NA 1494 456 196 NA NA NA
1470085200.0 136.734 NA 157 242 0 NA NA NA NA 226 303 0 NA NA NA NA 4528 9730 1077 NA NA NA NA 5090 10643 1139 NA NA NA
1470085200.0 1360.0 69 160 237 0 NA NA NA 156 215 316 0 NA NA NA 4188 684 1427 2329 NA NA NA 6326 767 1557 2384 NA NA NA
1470085200.0 1361.0 59 153 241 0 NA NA NA 156 214 316 0 NA NA NA 7605 692 1137 1779 NA NA NA 10018 820 1305 1873 NA NA NA
1470085200.0 1362.0 59 159 233 0 NA NA NA 156 213 316 0 NA NA NA 5389 612 851 1264 NA NA NA 7412 696 2574 2198 NA NA NA
1470085200.0 1363.0 59 154 238 0 NA NA NA 156 213 316 0 NA NA NA 8475 719 1078 1698 NA NA NA 11977 788 1243 1746 NA NA NA
1470085200.0 1364.0 NA 157 246 0 NA NA NA NA 220 316 0 NA NA NA NA 520 814 1363 NA NA NA NA 725 1101 1402 NA NA NA
1470085200.0 1365.0 NA 162 245 0 NA NA NA NA 224 316 0 NA NA NA NA 553 911 1337 NA NA NA NA 658 1167 1374 NA NA NA
1470085200.0 1366.0 NA 160 248 0 NA NA NA NA 219 316 0 NA NA NA NA 539 832 1381 NA NA NA NA 641 1129 1423 NA NA NA
1470085200.0 13992501.0 NA 196 305 0 NA NA NA NA 275 408 0 NA NA NA NA 3046 4007 1385 NA NA NA NA 5667 8446 1589 NA NA NA
1470085200.0 13992502.0 NA 201 304 0 NA NA NA NA 276 407 0 NA NA NA NA 2958 3625 1390 NA NA NA NA 5446 8592 1595 NA NA NA
1470085200.0 140.1 NA 136 188 0 NA NA NA NA 197 256 0 NA NA NA NA 277 362 220 NA NA NA NA 349 895 261 NA NA NA
1470085200.0 140.2 NA 135 188 0 NA NA NA NA 197 256 0 NA NA NA NA 273 373 220 NA NA NA NA 561 725 312 NA NA NA
1470085200.0 140.4 NA 139 189 0 NA NA NA NA 197 247 0 NA NA NA NA 271 355 223 NA NA NA NA 451 960 266 NA NA NA
1470085200.0 144.6 NA 205 NA NA NA NA NA NA 274 NA NA NA NA NA NA 1576 NA NA NA NA NA NA 1820 NA NA NA NA NA
1470085200.0 15.0 NA 78 192 0 NA NA NA NA 152 255 0 NA NA NA NA 2012 775 334 NA NA NA NA 2124 842 353 NA NA NA
1470085200.0 19.0 NA 78 194 0 NA NA NA NA 152 255 0 NA NA NA NA 1952 848 533 NA NA NA NA 2099 928 571 NA NA NA
1470085200.0 2.0 50 65 125 NA NA NA NA 98 135 174 NA NA NA NA 9565 534 674 NA NA NA NA 11918 685 698 NA NA NA NA
1470085200.0 200.0 NA 85 208 0 NA NA NA NA 153 280 0 NA NA NA NA 712 1122 525 NA NA NA NA 1181 1531 654 NA NA NA
1470085200.0 203.0 NA 91 214 0 NA NA NA NA 153 288 0 NA NA NA NA 762 1255 564 NA NA NA NA 1175 1813 588 NA NA NA
