Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470085200.0 135.1 410 0 107 NA NA NA NA 535 0 179 NA NA NA NA 1480 262 250 NA NA NA NA 910 269 255 NA NA NA NA
1470085200.0 135.11 427 0 111 NA NA NA NA 555 0 183 NA NA NA NA 1696 258 324 NA NA NA NA 1050 273 269 NA NA NA NA
1470085200.0 135.12 403 0 107 NA NA NA NA 526 0 171 NA NA NA NA 1271 233 223 NA NA NA NA 1085 243 246 NA NA NA NA
1470085200.0 135.2 365 0 103 NA NA NA NA 467 0 175 NA NA NA NA 865 208 205 NA NA NA NA 702 223 246 NA NA NA NA
1470085200.0 135.3 365 0 100 NA NA NA NA 475 0 178 NA NA NA NA 934 210 206 NA NA NA NA 772 226 245 NA NA NA NA
1470085200.0 135.4 402 0 111 NA NA NA NA 516 0 176 NA NA NA NA 1404 255 231 NA NA NA NA 931 263 261 NA NA NA NA
1470085200.0 135.5 407 0 112 NA NA NA NA 524 0 176 NA NA NA NA 1135 239 228 NA NA NA NA 760 245 261 NA NA NA NA
1470085200.0 135.6 404 0 109 NA NA NA NA 528 0 180 NA NA NA NA 1259 234 236 NA NA NA NA 1084 244 254 NA NA NA NA
1470085200.0 135.7 406 0 104 NA NA NA NA 526 0 170 NA NA NA NA 1200 247 235 NA NA NA NA 1223 255 451 NA NA NA NA
1470085200.0 135.9 376 0 109 NA NA NA NA 514 0 168 NA NA NA NA 976 218 194 NA NA NA NA 705 224 225 NA NA NA NA
1470085200.0 1350.0 NA 188 450 0 NA NA NA NA 319 567 0 NA NA NA NA 619 1734 1193 NA NA NA NA 476 1649 1205 NA NA NA
1470085200.0 1351.0 NA 196 458 0 NA NA NA NA 321 559 0 NA NA NA NA 1048 3239 1962 NA NA NA NA 774 3462 1981 NA NA NA
1470085200.0 1352.0 NA 195 456 0 NA NA NA NA 340 557 0 NA NA NA NA 1063 3072 1789 NA NA NA NA 733 2842 1806 NA NA NA
1470085200.0 1354.0 NA 194 458 0 NA NA NA NA 345 575 0 NA NA NA NA 1083 3010 1839 NA NA NA NA 2107 2779 1858 NA NA NA
1470085200.0 1355.0 NA 205 464 0 NA NA NA NA 320 566 0 NA NA NA NA 1174 3255 1811 NA NA NA NA 835 2907 1825 NA NA NA
1470085200.0 136.721 NA 193 423 0 NA NA NA NA 276 507 0 NA NA NA NA 4030 9790 761 NA NA NA NA 1636 3973 772 NA NA NA
1470085200.0 136.722 NA 198 430 0 NA NA NA NA 286 553 0 NA NA NA NA 3231 7152 543 NA NA NA NA 1084 2744 550 NA NA NA
1470085200.0 136.723 NA 203 421 0 NA NA NA NA 284 508 0 NA NA NA NA 4331 10707 766 NA NA NA NA 1452 3994 777 NA NA NA
1470085200.0 136.724 NA 210 437 0 NA NA NA NA 293 532 0 NA NA NA NA 3512 8225 590 NA NA NA NA 1136 3145 599 NA NA NA
1470085200.0 136.725 NA 203 434 0 NA NA NA NA 290 514 0 NA NA NA NA 2954 7141 527 NA NA NA NA 1208 2790 535 NA NA NA
1470085200.0 136.726 NA 209 422 0 NA NA NA NA 298 518 0 NA NA NA NA 3340 7322 543 NA NA NA NA 1114 2749 560 NA NA NA
1470085200.0 136.727 NA 231 446 0 NA NA NA NA 341 556 0 NA NA NA NA 7910 17280 1250 NA NA NA NA 14555 7215 1270 NA NA NA
1470085200.0 136.728 NA 237 440 0 NA NA NA NA 335 539 0 NA NA NA NA 9134 19652 1220 NA NA NA NA 3998 7582 1263 NA NA NA
1470085200.0 136.729 NA 194 421 0 NA NA NA NA 280 520 0 NA NA NA NA 4193 10779 741 NA NA NA NA 1527 4059 749 NA NA NA
1470085200.0 136.73 NA 211 438 0 NA NA NA NA 292 551 0 NA NA NA NA 3125 7145 543 NA NA NA NA 1537 2796 556 NA NA NA
